                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6779,                 3.7436,                 3.9646,                0.00333,                      1,                0.11406,                0.03265,                 1.4498,                 3.2382,                 3.8393,             0.00036416,             0.00036416,             0.00036416
                      2,                 1.8197,                 2.7948,                 2.8148,                 0.0144,                      1,                0.05964,                0.02732,                 1.8392,                 3.5955,                 3.0963,             0.00071995,             0.00071995,             0.00071995
                      3,                 1.4669,                 2.2302,                 2.2209,                0.24995,                      1,                0.42732,                 0.2595,                 1.6905,                 4.7464,                 3.5419,              0.0010611,              0.0010611,              0.0010611
                      4,                  1.242,                 1.9328,                 1.9473,                0.22184,                      1,                0.39503,                0.28761,                 1.0516,                 2.1922,                 2.1497,               0.001045,               0.001045,               0.001045
                      5,                 1.0622,                 1.7779,                 1.7672,                0.19967,                      1,                0.35878,                0.26614,                 1.0427,                 2.6014,                 2.0849,               0.001023,               0.001023,               0.001023
                      6,                0.93889,                 1.6682,                  1.629,                    0.2,                      1,                0.41035,                0.36991,                0.53456,                 1.4515,                 1.3329,               0.001001,               0.001001,               0.001001
                      7,                0.84335,                 1.5931,                 1.5213,                0.19968,                      1,                0.43714,                0.35701,                0.70764,                 1.4683,                 1.5693,             0.00097901,             0.00097901,             0.00097901
                      8,                0.83178,                  1.582,                 1.4772,                0.19965,                      1,                0.37036,                0.31082,                0.67355,                 1.4862,                 1.5351,             0.00095702,             0.00095702,             0.00095702
                      9,                  0.789,                 1.5348,                 1.4357,                 0.1998,                      1,                0.43955,                0.38636,                0.54706,                 1.4079,                 1.3166,             0.00093502,             0.00093502,             0.00093502
                     10,                0.76163,                 1.5181,                 1.4058,                0.19967,                      1,                0.36919,                0.32763,                0.52093,                 1.3908,                 1.3098,             0.00091302,             0.00091302,             0.00091302
                     11,                 0.7238,                  1.505,                 1.3725,                    0.2,                      1,                0.48867,                 0.4208,                0.61489,                 1.4305,                 1.4155,             0.00089102,             0.00089102,             0.00089102
                     12,                0.72497,                 1.4946,                 1.3654,                0.19966,                      1,                0.48481,                0.41516,                0.60002,                 1.3975,                 1.4043,             0.00086902,             0.00086902,             0.00086902
