                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2942,                  4.732,                 4.0387,                0.77031,                0.03571,                0.01361,                 0.0048,                 3.1545,                 4.0642,                 3.6755,             0.00041254,             0.00041254,             0.00041254
                      2,                 2.7214,                 3.7717,                 3.2722,                0.47765,                0.23757,                0.18159,                0.07999,                 2.2559,                 4.0388,                 2.8074,             0.00081279,             0.00081279,             0.00081279
                      3,                  2.359,                 2.9357,                 2.8157,                0.36571,                0.06896,                0.06329,                0.02431,                  2.526,                 3.7951,                 3.0336,              0.0011965,              0.0011965,              0.0011965
                      4,                 2.2195,                 2.5268,                 2.5938,                0.34064,                0.45677,                0.28399,                0.11867,                 1.9937,                 4.3569,                 2.4566,              0.0011757,              0.0011757,              0.0011757
                      5,                  2.064,                 2.2071,                 2.4621,                0.47336,                0.52765,                0.54009,                 0.2685,                  1.855,                 2.2576,                 2.3548,               0.001151,               0.001151,               0.001151
                      6,                 1.9996,                 2.0722,                 2.3843,                0.54082,                 0.4817,                0.53084,                 0.2791,                 1.7939,                  2.154,                 2.2956,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.8713,                 1.8657,                 2.2852,                0.63702,                0.57103,                0.62389,                0.33691,                 1.6702,                  1.859,                 2.1718,              0.0011015,              0.0011015,              0.0011015
                      8,                  1.802,                  1.737,                 2.2092,                0.69769,                 0.5732,                0.63136,                0.34778,                 1.7266,                 1.6585,                 2.2167,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.7714,                 1.6406,                 2.1692,                0.60407,                0.65499,                 0.7136,                0.38623,                 1.6832,                 1.8238,                 2.1854,               0.001052,               0.001052,               0.001052
                     10,                 1.7331,                 1.6012,                 2.1052,                0.67901,                0.58697,                0.67331,                0.35447,                 1.7916,                 1.6725,                  2.232,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.7231,                 1.5538,                 2.1067,                0.68304,                0.61673,                0.70864,                0.37343,                 1.7538,                 1.4679,                 2.1932,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.6397,                 1.4961,                 2.0351,                0.65755,                0.65346,                0.70933,                0.36468,                 1.7598,                 1.5185,                 2.2239,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.6547,                 1.4477,                 2.0378,                0.68678,                0.66565,                0.71962,                0.38907,                 1.6701,                 1.4685,                 2.1216,               0.000953,               0.000953,               0.000953
                     14,                 1.6036,                 1.3916,                 1.9906,                  0.754,                0.64578,                0.72941,                0.40119,                 1.6475,                 1.3323,                 2.0997,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.5716,                 1.3522,                  1.956,                0.77042,                0.65628,                0.75519,                0.42495,                 1.6445,                 1.3725,                 2.1134,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.5902,                 1.3665,                 1.9631,                0.62147,                0.67201,                0.72309,                0.41672,                 1.6164,                 1.4493,                 2.0664,             0.00087875,             0.00087875,             0.00087875
                     17,                  1.562,                 1.3215,                 1.9318,                0.74737,                0.75617,                0.77734,                0.42364,                 1.6664,                 1.2356,                  2.101,               0.000854,               0.000854,               0.000854
                     18,                 1.5342,                 1.2806,                 1.9217,                0.74583,                0.66209,                0.73547,                0.39567,                 1.7278,                 1.3693,                 2.1502,             0.00082925,             0.00082925,             0.00082925
                     19,                  1.531,                 1.2543,                 1.9213,                0.78066,                 0.7106,                0.76314,                0.41593,                 1.6337,                  1.232,                   2.11,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.5158,                 1.2349,                 1.8951,                0.67792,                 0.6926,                0.76061,                0.40601,                 1.6994,                 1.4025,                 2.1345,             0.00077975,             0.00077975,             0.00077975
                     21,                  1.483,                 1.1983,                  1.879,                0.70744,                0.62143,                0.74171,                0.40389,                  1.714,                 1.4475,                 2.1466,               0.000755,               0.000755,               0.000755
                     22,                 1.4999,                 1.1911,                 1.8682,                0.76163,                0.78978,                 0.8112,                0.43805,                  1.651,                 1.1285,                 2.0853,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.4953,                 1.1827,                 1.8749,                0.67792,                0.71694,                0.74761,                0.40335,                 1.6827,                 1.3652,                 2.1132,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.4526,                 1.1392,                  1.847,                0.70436,                0.69891,                0.75198,                0.41414,                 1.6941,                 1.2884,                  2.115,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.4488,                 1.1297,                 1.8329,                0.71202,                0.72306,                0.75751,                0.44303,                 1.6076,                 1.2739,                   2.06,               0.000656,               0.000656,               0.000656
                     26,                 1.4497,                 1.1278,                 1.8426,                   0.74,                0.76882,                0.77478,                0.40734,                 1.7795,                 1.2288,                 2.1878,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.4688,                 1.1182,                 1.8352,                0.61709,                 0.6339,                0.67819,                0.37951,                 1.7126,                 1.8784,                 2.1376,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.4185,                 1.0881,                 1.8076,                0.77401,                0.76859,                0.80789,                0.45413,                 1.6262,                 1.1457,                 2.0497,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.4252,                 1.0706,                 1.8025,                0.74959,                0.78221,                 0.8031,                0.45394,                 1.6139,                 1.1262,                 2.0459,               0.000557,               0.000557,               0.000557
                     30,                 1.4154,                 1.0315,                  1.786,                0.78389,                0.69803,                0.76621,                0.43146,                 1.6825,                 1.2071,                 2.1192,             0.00053225,             0.00053225,             0.00053225
                     31,                  1.385,                 1.0198,                 1.7739,                0.76008,                0.76638,                0.82275,                0.44082,                 1.6996,                 1.1507,                  2.166,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.4061,                 1.0233,                 1.7809,                  0.806,                0.74431,                 0.8392,                0.45602,                  1.658,                 1.1727,                 2.1089,             0.00048275,             0.00048275,             0.00048275
